adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords
False,,60000000,Horror;Romance,,628,tt0110148,en,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",11.970205,/hldXwwViSfHJS0kIJr07KBGmHJI.jpg,Geffen Pictures,,1994-11-11,223664608,123,en;fr,Released,Drink from me and live forever,Interview with the Vampire,False,7.2,1558,paris;san francisco;vampire;plantation;pity;bite;fang vamp
False,,11000000,Adventure;Action;Science Fiction,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,Lucasfilm;Twentieth Century Fox Film Corporation,,1977-05-25,775398007,121,en,Released,"A long time ago in a galaxy far, far away...",Star Wars,False,8.1,6778,android;galaxy;hermit;death star;lightsaber;jedi;rescue mission;empire;rebellion;planet;smuggler;the force;space opera;galactic war;stormtrooper;totalitarianism
False,,31000000,Drama;Thriller,,1945,tt0110638,en,Nell,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets.",5.930957,/4XLF6QkUqMDL5SLDEw1nrpSMk8N.jpg,Twentieth Century Fox Film Corporation;Egg Pictures;PolyGram Filmed Entertainment,,1994-12-23,106683817,112,en,Released,Her heart. Her soul. Her language are a mystery...A mystery called Nell,Nell,False,6.1,128,loss of mother;loss of sister;twin sister;autism;lake;kaspar-hauser-syndrom;feral child;forest;north carolina;psychologist;family
False,,0,Drama,,527,tt0110729,en,Once Were Warriors,"A drama about a Maori family lving in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",4.025276,/8QF48QS5lvtrhOclt22RFz3bSQm.jpg,Avalon Studios;New Zealand Film Commission;New Zealand On Air,,1994-09-02,2201126,99,en;mi,Released,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love.",Once Were Warriors,False,7.6,106,individual;slum;suicide;tattoo;alcohol;rape;tradition;loss of child;indigenous;despair;violent husband;ghetto;new zealand;maori;strong woman;lack of prospects;maori tradition;funeral;approved school ;crush;independent film;teacher;youth gang;domestic violence;violence;rebellious youth;alcohol abuse;incest;unemployment
False,,16000000,Thriller;Crime;Drama,,101,tt0110413,fr,Léon,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,/gE8S02QUOhVnAmYu4tcrBlMTujz.jpg,Columbia Pictures;Gaumont,,1994-09-14,45284974,110,en,Released,"If you want a job done well, hire a professional.",Leon: The Professional,False,8.2,4293,new york;corruption;assassin;police brutality;loss of family;s.w.a.t.;immigrant;hitman;training;revenge;murder;loneliness;neighbor;tragic love;cult film;neo-noir;complex relationship;complex characters
False,,0,Drama;Mystery;Romance,,110,tt0111495,fr,Trois couleurs : Rouge,Red This is the third film from the trilogy by Kieślowski. “Red” meaning brotherliness. Here Kieślowski masterly tells strange coincidentally linked stories in the most packed work.,7.832755,/77CFEssoKesi4zvtADEpIrSKhA3.jpg,Zespół Filmowy TOR;Le Studio Canal+;France 3 Cinéma;Télévision Suisse-Romande,,1994-05-27,0,99,fr,Released,,Three Colors: Red,False,7.8,246,judge;isolation;mannequin;shadowing;english channel;geneva;travel;dog
False,,38000000,Science Fiction;Action;Adventure;Thriller,,193,tt0111280,en,Star Trek: Generations,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,8.105708,/wjrXjlNpDq9U8vYmAwf420yDFtn.jpg,Paramount Pictures,,1994-11-17,120000000,118,en,Released,Boldly go.,Star Trek: Generations,False,6.4,461,based on tv series;death;exploding planet;mountain cabin;solar system
False,,11000000,Romance;Drama,,1587,tt0108550,en,What's Eating Gilbert Grape,"Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life.",10.3919,/jQLoOPwNxyILwDbdhn9DsfQz0Sg.jpg,Paramount Pictures,,1993-12-17,10032765,118,en,Released,A film about the love you find...In the last place you look.,What's Eating Gilbert Grape,False,7.5,943,brother brother relationship;mentally disabled;iowa;widow;dysfunctional family;independent film
False,,17000000,Comedy;Drama;Romance,,2064,tt0114924,en,While You Were Sleeping,"A love story built on a misunderstanding. A transit worker pulls commuter Peter off the tracks after he's mugged. But while he's in a coma, his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.",15.783615,/9StV7DX4ZtRZGJs9VcVEPvxIKL6.jpg,Caravan Pictures;Hollywood Pictures,,1995-04-21,182057016,103,en,Released,A story about love at second sight.,While You Were Sleeping,False,6.5,340,brother brother relationship;chicago;coma;subway;love of one's life;brother;man of one's dreams;hospital
False,,3000000,Drama;Comedy;Romance,,236,tt0110598,en,Muriel's Wedding,"Muriel’s Wedding is P.J. Hogan’s film debut. A humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. An amusing comedy that’s funny, silly, angry and serious.",5.254847,/qoZShHm8QTrHAR80LypwI0SYp8I.jpg,Ciby 2000;Film Victoria;House & Moorhouse Films,,1994-09-29,15119639,106,en,Released,Success is the best revenge.,Muriel's Wedding,False,6.9,104,individual;becoming an adult;dream;return;love of one's life;overweight;province;bathing;olympic games;empowerment;boredom;daughter;friendship
False,,11500000,Drama,,2788,tt0110950,en,Reality Bites,"A small circle of friends suffering from post-collegiate blues must confront the hard truth about life, love and the pursuit of gainful employment. As they struggle to map out survival guides for the future, the Gen-X quartet soon begins to realize that reality isn't all it's cracked up to be.",6.514592,/gbi7dmxPNVqJQpKnHOpZ9dmeWAO.jpg,Universal Pictures;Jersey Films,,1994-02-18,20079850,99,en,Released,A comedy about love in the '90s,Reality Bites,False,6.5,180,roommate;yuppie;generations confilct;camcorder;cohabitant;cabriolet;fictional tv show;unemployed
False,,45000,Action;Crime,,315,tt0059170,en,"Faster, Pussycat! Kill! Kill!","Three strippers seeking thrills encounter a young couple in the desert. After dispatching the boyfriend, they take the girl hostage and begin scheming on a crippled old man living with his two sons in the desert, reputedly hiding a tidy sum of cash. They become house guests of the old man and try and seduce the sons in an attempt to locate the money, not realizing that the old man has a few sinister intentions of his own.",4.220541,/u0YrGkpjL5H190qqEsQavZ2WrV5.jpg,Eve Productions Inc.,,1965-08-06,0,83,en,Released,Go-Go For a Wild Ride With the ACTION GIRLS!,"Faster, Pussycat! Kill! Kill!",False,6.5,59,killing;sports car;go-go dancer;eroticism;kidnapping;independent film;b movie;exploitation film
False,,50000000,Action;Comedy;Crime,,306,tt0109254,en,Beverly Hills Cop III,"Back in sunny southern California and on the trail of two murderers, Axel Foley again teams up with LA cop Billy Rosewood. Soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss.",11.787784,/tw9gAhqQcBFX0X0XfVbWqUsmzoU.jpg,Paramount Pictures;Eddie Murphy Productions,,1994-05-24,119208989,104,en,Released,,Beverly Hills Cop III,False,5.5,445,detective;undercover;security camera;carousel ;investigation;weapon;sequel;rescue;counterfeit;shootout;dirty cop;gunfight;los angeles;explosion;violence;foot chase;framed;car chase;secret service;amusement park;roller coaster;beverly hills;buddy comedy
False,,40000000,Drama;Mystery;Romance;Thriller,,2124,tt0109456,en,Color of Night,"When New York psychiatrist Bill Capa visits Los Angeles to take over his murdered colleague's therapy group, he finds himself embroiled in the thick of a mystery when he bumps into Rose and begins a torrid affair.",14.228963,/qvNWTJ8m65DDGr8olt1o39OQVkH.jpg,Hollywood Pictures;Cinergi Pictures Entertainment,,1994-08-19,19726050,121,cs;en,Released,"In the heat of desire, love can turn to deception. Nothing is what it seems when day turns into night.",Color of Night,False,5.4,117,suicide;california;sex;secret identity;eroticism;paranoia;nudity;group therapy;therapist;grief;obsessive compulsive disorder;violence;psychiatrist;car chase;disguise;mental illness;color blindness;voyeurism
False,,0,Drama;Action;Thriller,,2087,tt0109890,en,The Getaway,"Doc McCoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. Doc knows Jack Benyon, a rich ""business""-man, is up to something big, so he tells his wife (Carol McCoy) to tell him that he's for sale if Benyon can get him out of prison. Benyon pulls some strings and Doc McCoy is released again. Unfortunately he has to cooperate with the same person that got him to prison.",14.214403,/aqASLZpqGK62bmUI1KLvvEIpKNk.jpg,Universal Pictures;Largo Entertainment,,1994-02-11,30,115,en,Released,,The Getaway,False,5.4,81,suicide by hanging;sexual torture;exploding truck;cuckold;garbage dump
False,,18000000,Action;Adventure;Crime;Thriller,,2019,tt0107076,en,Hard Target,"When a woman's father goes missing, she enlist a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",7.834351,/6WEu60V7EzncuFJSVmGJzhFvs4I.jpg,Universal Pictures;Renaissance Pictures;Alphaville Films,,1993-08-20,74189677,97,en,Released,Don't hunt what you can't kill.,Hard Target,False,6.1,237,new orleans;mercenary;hunting human beings;money;drifter;union;sailor;human prey
False,,0,Action;Thriller;Crime,,6,tt0107286,en,Judgment Night,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",5.538671,/lNXmgUrP6h1nD53gkFh4WDzT6RZ.jpg,Universal Pictures;Largo Entertainment;JVC Entertainment Networks,,1993-10-15,12136938,110,en,Released,Don't move. Don't whisper. Don't even breathe.,Judgment Night,False,6.4,79,chicago;drug dealer;boxing match;escape;one night
False,,63000000,Adventure;Science Fiction,http://www.jurassicpark.com/,329,tt0107290,en,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,/c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg,Universal Pictures;Amblin Entertainment,,1993-06-11,920100000,127,en;es,Released,An adventure 65 million years in the making.,Jurassic Park,False,7.6,4956,exotic island;dna;paleontology;tyrannosaurus rex;triceratops;brontosaurus;electric fence;island;dinosaur;amusement park;theme park;jurassic park
False,,1500000,Action;Crime;Drama;Thriller,,507,tt0110265,en,Killing Zoe,"Zed (Eric Stoltz) is an American vault-cracker who travels to Paris to meet up with his old friend Eric (Jean-Hugues Anglade). Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.",4.948569,/jAnpPlUUhBqztIfCfg3OKsTYMhu.jpg,Live Entertainment,,1993-10-01,418961,96,en;fr,Released,,Killing Zoe,False,6.1,111,paris;prostitute;robbery;drug abuse;aids;bank;jazz;hostage;night life;kidnapping;vault;junkie;bank robber;heroin;friendship;murder;independent film;pistol;violence;drug;bank robbery;illegal prostitution;hoodlum
False,,25000000,Comedy;Drama;Family,,788,tt0107614,en,Mrs. Doubtfire,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",11.16553,/jx4NvllNGN7o5bpIhcCMh26Xwaj.jpg,Twentieth Century Fox Film Corporation;Blue Wolf,,1993-11-24,441286195,125,en,Released,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,Mrs. Doubtfire,False,7.0,1638,san francisco;parent child relationship;restaurant;nanny;mask;custody battle;fake identity
False,,11500000,Drama;Romance,,1245,tt0107943,en,The Remains of the Day,A rule bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,12.222576,/gvu4zaF0KeIRoZ5fVABQH3Wug3r.jpg,Columbia Pictures;Merchant Ivory Productions,,1993-11-05,23237911,134,en,Released,Diamond in the Rough,The Remains of the Day,False,7.5,213,newspaper;butler;country house;loyalty;flower;nazis;jewish;britain;housekeeper;employer
False,,11500000,Action;Crime;Drama;Thriller,,2088,tt0107983,en,Romeo Is Bleeding,A corrupt cop gets in over his head when he tries to assassinate a beautiful Russian hit-woman.,9.796318,/bb8Gtk8WlXkGzkwQuWspymr4if7.jpg,Working Title Films;Polygram Filmed Entertainment;Hilary Henkin,,1993-09-13,3275585,100,en,Released,The story of a cop who wanted it bad and got it worse.,Romeo Is Bleeding,False,5.7,36,police operation;sex addiction;police;mafia boss;suspense;bad cop;hitwoman
False,,21000000,Comedy;Drama;Romance,,858,tt0108160,en,Sleepless in Seattle,A young boy who tries to set his dad up on a date after the death of his mother. He calls into a radio station to talk about his dad’s loneliness which soon leads the dad into meeting a Journalist Annie who flies to Seattle to write a story about the boy and his dad. Yet Annie ends up with more than just a story in this popular romantic comedy.,10.234919,/afkYP15OeUOD0tFEmj6VvejuOcz.jpg,TriStar Pictures,,1993-06-24,227799884,105,en,Released,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,False,6.5,630,father son relationship;lovesickness;journalist;loss of mother;loss of lover;radio station;christmas party;love of one's life;radio;seattle;baltimore;fiancé;radio presenter;airplane;radio transmission;observation deck;friendship;unsociability;woman director
False,,12500000,Action;Thriller;Crime;Romance,,319,tt0108399,en,True Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",17.189328,/xBO8R3CZfrJ9rrwrZoJ68PgJyAR.jpg,Davis-Films;August Entertainment;Warner Bros.;Morgan Creek Productions,,1993-09-09,12281551,120,en;it,Released,"Stealing, Cheating, Killing. Who said romance was dead?",True Romance,False,7.5,762,father son relationship;film producer;mexican standoff;loss of father;cocaine;love;mafia;los angeles;drug;illegal prostitution;gun violence
False,,100000000,Action;Thriller;Science Fiction,,280,tt0103064,en,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",22.661695,/2y4dmgWYRMYXdD1UyJVcn2HSd1D.jpg,Lightstorm Entertainment;Pacific Western;Canal+;Carolco Pictures;T2 Productions,,1991-07-01,520000000,137,en;es,Released,It's nothing personal.,Terminator 2: Judgment Day,False,7.7,4274,cyborg;shotgun;post-apocalyptic;dystopia;moral ambiguity;mental institution;violence;fictional war;morphing;nuclear weapons;shape shifter;savior;catch phrase
False,,0,Comedy;Drama;Romance,,2021,tt0113448,en,Jack & Sarah,"Jack always lands on his feet. He lands on his feet when he marries the beautiful Sarah. He lands on his feet when he buys a luxurious new home. However, when Sarah goes into labour, he takes a tumble down the stairs and lands on his head. When he comes around he discovers he is the proud father of a baby girl, but deficient in the spouse department to the tune of 1.",1.523446,/vK6fm3T3FZxzYT4jDirKBp0SCSL.jpg,Granada Film Productions;Mainstream S.A.;Canal+;British Screen Productions;Polygram Filmed Entertainment,,1995-06-02,218626,110,en,Released,"She's not proper, she's not fitting, she's not British, but to Jack she's a breath of fresh air.",Jack & Sarah,False,5.1,10,london england;depression;baby;nanny;daughter
False,,80000000,Adventure;Action;Thriller,http://www.missionimpossible.com/,954,tt0117060,en,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",15.793477,/vmj2PzTLC6xJvshpq8SlaYE3gbd.jpg,Paramount Pictures;Cruise/Wagner Productions,,1996-05-22,457696359,110,en;fr;cs,Released,Expect the Impossible.,Mission: Impossible,False,6.7,2677,paris;london england;spy;cia;terrorist;secret identity;undercover;arms deal;headquarter;secret base;secret mission;prague;embassy;secret agent;tgv;computer;mission;based on tv series;espionage;agent
False,,80000000,Animation;Comedy;Drama;Family;Fantasy,http://www.warnerbros.com/archive/spacejam/movie/jam.htm,2300,tt0117705,en,Space Jam,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",11.054251,/bJhVLribUKCrKv1h1WFqv4QmRWM.jpg,Warner Bros. Family Entertainment;Northern Lights Entertainment;Courtside Seats Productions,,1996-11-15,250200000,88,en,Released,Get ready to jam.,Space Jam,False,6.5,1335,sport;basketball;doctor;basketball team;basketball game;referee;basketball court;tweety bird;speedy gonzales;cartoon chicken;sylvester the cat;cartoon reality crossover;basketball hoop;cartoon skunk
False,,9000000,Drama;Fantasy;Western,,922,tt0112817,en,Dead Man,"On the run after murdering a man, accountant William Blake encounters a strange North American man named Nobody who prepares him for his journey into the spiritual world.",6.505272,/vGobIvxSiFvAmwqH8BlC3SpET0C.jpg,JVC Entertainment;Pandora Filmproduktion;Newmarket Capital Group;12 Gauge Productions,,1995-12-23,0,121,en;es,Released,No one can survive becoming a legend.,Dead Man,False,7.2,397,sheriff;bounty;bounty hunter;gun;attempted murder;prosecution;illness and injury;dying and death;frontier;murder;black and white;19th century;fear of dying;wanted dead or alive
False,,0,Family;Animation;Comedy,http://www.wallaceandgromit.com/films/a-close-shave,532,tt0112691,en,A Close Shave,"Wallace falls in love with wool-shop owner Wendolene, not suspecting that she (or rather, her dog) is at the head of a fiendish sheep-rustling plot. Gromit is set up and jailed, but his new-found sheepish friend is determine to give Wallace a helping hand in finding out the real truth.",6.796858,/efFW4euBJIha6WVJoBPSfyui2Aa.jpg,Aardman Animations,,1995-12-24,0,30,en,Released,From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.,A Close Shave,False,7.5,223,prison;inventor;loyalty;sheep;innocence;surrealism;framed;dog;sheep rustling;wallace & gromit
False,,40000000,Crime;Drama;Thriller,,1645,tt0117913,en,A Time to Kill,"A young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",13.309013,/sCHK5jHhRcrXZvZDekZXvRkDOHc.jpg,Regency Enterprises;Warner Bros.,,1996-07-24,152266007,149,en,Released,Experience a time you'll never forget.,A Time to Kill,False,7.0,522,ku klux klan;rape;mississippi;jurors;blackmail;attempted murder;forgiveness;court;shooting;murder;suspense;lawyer;trial;courtroom;racial tension;kkk;racial issues;courtroom drama
False,,2500000,Comedy;Drama;Romance,,164,tt0054698,en,Breakfast at Tiffany's,"Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past.",10.879289,/c95lbDwL5WT8PV9DZsdSvRtXKNA.jpg,Paramount Pictures;Jurow-Shepherd,,1961-10-05,9500000,110,en;pt,Released,"Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!",Breakfast at Tiffany's,False,7.6,1082,loss of brother;age difference;cat;broken engagement;fire escape;love of one's life;jewelry;store window;neighbor;millionaire;celebration
False,,2479000,Mystery;Romance;Thriller,,426,tt0052357,en,Vertigo,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",18.20822,/obhM86qyv8RsE69XSMTtT9FdE0b.jpg,Paramount Pictures;Alfred J. Hitchcock Productions,,1958-05-09,28000000,128,en,Released,Alfred Hitchcock engulfs you in a whirlpool of terror and tension!,Vertigo,False,8.0,1162,san francisco;sense of guilt;bachelor;obsession;love of one's life;vertigo;museum;necklace;grave;plan;painting;film noir
False,,2883848,Comedy;Romance,,239,tt0053291,en,Some Like It Hot,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",11.845107,/pxc9EFCMYkItESpqqrI783yl8Gh.jpg,The Mirisch Corporation;Ashton Productions,,1959-03-18,25000000,122,en,Released,The movie too HOT for words!,Some Like It Hot,False,8.0,835,chicago;witness;musician;mafia;cross dressing;band;spats;all girl band;st. valentine's day massacre;sugar;valentine's day;dressing
